spec,signal_date,mover,horizon,low_avol_return,high_avol_return,spread,low_signal_return,high_signal_return
MAIN_20D_1M_TAIL20,2015-02-02,positive,1,0.03657562912203055,0.035682951242382514,-0.0008926778796480364,0.04384602756383781,0.04567086125795681
MAIN_20D_1M_TAIL20,2015-02-02,negative,1,0.015627793520208575,0.01710842694502261,0.0014806334248140332,-0.012001028724075507,-0.01276508418301211
AVOL10,2015-02-02,positive,1,0.035006057369690265,0.03730779539299235,0.002301738023302087,0.04390313078573356,0.04561257691906066
AVOL10,2015-02-02,negative,1,0.016610225862598256,0.016156141420331324,-0.00045408444226693184,-0.012142226440219707,-0.012633796818163503
LIQ5M,2015-02-02,positive,1,0.04007357781424585,0.03580601292159293,-0.004267564892652918,0.04529760148437935,0.04693545850510489
LIQ5M,2015-02-02,negative,1,0.017255319371736338,0.016841174853865923,-0.0004141445178704149,-0.011856895453476323,-0.01301876973881862
LIQ10M,2015-02-02,positive,1,0.041449159954764954,0.03789020253045936,-0.003558957424305592,0.045153352186670825,0.04628605277132008
LIQ10M,2015-02-02,negative,1,0.01804697080414374,0.017476787724154973,-0.0005701830799887675,-0.011453081684713299,-0.013065262782321207
TAIL10,2015-02-02,positive,1,0.04842813147453061,0.03977135851944354,-0.008656772955087065,0.05731606944077763,0.06096617338433584
TAIL10,2015-02-02,negative,1,0.018107325304426762,0.01818761365708978,8.028835266301812e-05,-0.019016686166736282,-0.020498369395191847
MAIN_20D_1M_TAIL20,2015-02-03,positive,1,-0.01498212794968819,-0.017913085847415293,-0.0029309578977271024,0.05831412219333922,0.05904722326684007
MAIN_20D_1M_TAIL20,2015-02-03,negative,1,-0.0018695730504565578,-0.002979675707287682,-0.0011101026568311244,-0.0068043851902388885,-0.007401647763797714
AVOL10,2015-02-03,positive,1,-0.014651930291098144,-0.018242977417059447,-0.003591047125961302,0.058359032514502675,0.059003125158109945
AVOL10,2015-02-03,negative,1,-0.0010644284218029362,-0.0037458270992366074,-0.0026813986774336714,-0.006935204897315315,-0.007281502787841526
LIQ5M,2015-02-03,positive,1,-0.013816949527154948,-0.0183575530660476,-0.004540603538892652,0.058356298227269676,0.059147817471594144
LIQ5M,2015-02-03,negative,1,-0.002808256763975384,-0.0030438236629423813,-0.00023556689896699718,-0.005276075594799876,-0.00596265055277332
LIQ10M,2015-02-03,positive,1,-0.0159170616994185,-0.016436370740124755,-0.0005193090407062569,0.059066988304942614,0.05910923387163566
LIQ10M,2015-02-03,negative,1,-0.0014486870191261429,-0.00472996537230584,-0.0032812783531796967,-0.004703813129285474,-0.0051868673226384745
TAIL10,2015-02-03,positive,1,-0.02053581361097561,-0.023390250201065145,-0.0028544365900895347,0.07834185170014511,0.07977097690512089
TAIL10,2015-02-03,negative,1,0.00029955959185238397,-0.004954471908069644,-0.005254031499922028,-0.014138438001633901,-0.015295849293128855
MAIN_20D_1M_TAIL20,2015-02-04,positive,1,0.009434687951672115,0.012071194270758178,0.0026365063190860634,0.01809023828996949,0.018456226883610073
MAIN_20D_1M_TAIL20,2015-02-04,negative,1,0.021969560388603884,0.018826664355213026,-0.0031428960333908587,-0.032775701479795895,-0.034410677755196
AVOL10,2015-02-04,positive,1,0.012177310111479236,0.009318358012973805,-0.002858952098505431,0.017945435001143324,0.018599321046718124
AVOL10,2015-02-04,negative,1,0.020664120042901087,0.020113431404845193,-0.0005506886380558934,-0.03275254676536808,-0.03443022654639309
LIQ5M,2015-02-04,positive,1,0.00834913462953615,0.011324234867343389,0.002975100237807239,0.018415347427495433,0.01888791511711363
LIQ5M,2015-02-04,negative,1,0.021954866380849584,0.02052982532547768,-0.0014250410553719034,-0.03391083339785307,-0.03550677169420665
LIQ10M,2015-02-04,positive,1,0.007582411885852134,0.011476938649528983,0.0038945267636768498,0.01808483504520881,0.018591987122001597
LIQ10M,2015-02-04,negative,1,0.01992397291850135,0.022301275270050675,0.0023773023515493256,-0.03306671895295381,-0.03454838378614018
