spec,mover,horizon,n_days,spread_pct,median_pct,hac_se_pct,hac_t,signal_gap_pct
MAIN_20D_1M_TAIL20,positive,1,2503,0.014048960852225338,0.028897432869507723,0.009950776716465994,1.4118456531114698,0.2811299854728294
MAIN_20D_1M_TAIL20,positive,3,2503,0.027000241479046182,0.05926777266040714,0.02200971775036198,1.2267418321891987,0.2811299854728294
MAIN_20D_1M_TAIL20,positive,5,2503,0.04470498290958941,0.07146266630415343,0.032718876574734344,1.3663361212136114,0.2811299854728294
MAIN_20D_1M_TAIL20,negative,1,2503,0.04551316618399128,0.03825554618148382,0.011015310372395573,4.131809694445607,-0.1576579354455636
MAIN_20D_1M_TAIL20,negative,3,2503,0.12913057296342184,0.11365858940140408,0.024375343681676546,5.29758983708164,-0.1576579354455636
MAIN_20D_1M_TAIL20,negative,5,2503,0.21148188979377672,0.19413852061749212,0.03827212466132496,5.525742081611816,-0.1576579354455636
AVOL10,positive,1,2503,0.015340891832861466,0.015416461792551461,0.009552273065601344,1.6059938537671727,0.2732579957217466
AVOL10,positive,3,2503,0.032853055485302735,0.05371960300535536,0.02022617002307227,1.6242845505514292,0.2732579957217466
AVOL10,positive,5,2503,0.049237242046339925,0.062254511945180994,0.029720098139888254,1.6566985012831137,0.2732579957217466
AVOL10,negative,1,2503,0.05446433620089127,0.0579786887060358,0.010708252341466136,5.0862021611114,-0.1405428994599082
AVOL10,negative,3,2503,0.13702403183403303,0.11869711915279604,0.0226785798344033,6.042002313838373,-0.1405428994599082
AVOL10,negative,5,2503,0.20698871768947158,0.2273030945347332,0.03532768342033854,5.859108145492095,-0.1405428994599082
AVOL40,positive,1,2485,0.02595862379074821,0.03288116752365282,0.010266496140447416,2.5284793794912903,0.2936435124981981
AVOL40,positive,3,2485,0.039349994886400425,0.06667828706056886,0.02311555437525951,1.702316727844372,0.2936435124981981
AVOL40,positive,5,2485,0.06372382847107663,0.08266181586350646,0.034783626364422386,1.832006467740093,0.2936435124981981
AVOL40,negative,1,2485,0.031020223586384177,0.025660338142824597,0.010959550909218255,2.830428349056946,-0.18012284204167867
AVOL40,negative,3,2485,0.10630566523632204,0.07752247701739495,0.024347437598570755,4.366195202511266,-0.18012284204167867
AVOL40,negative,5,2485,0.17973014308217664,0.16865864480557421,0.03837501582359344,4.683519712627096,-0.18012284204167867
LIQ5M,positive,1,2509,0.007240109020587542,0.015317757912588744,0.010142304979215899,0.7138524265859016,0.24328224727077483
LIQ5M,positive,3,2509,0.015054501315512028,0.034554139405670564,0.022735349272284537,0.6621627464445499,0.24328224727077483
LIQ5M,positive,5,2509,0.03734816527257816,0.05224673098684525,0.033628970215624124,1.1105949731171394,0.24328224727077483
LIQ5M,negative,1,2509,0.04624490253194656,0.038303918379967855,0.010854313354294454,4.260509257699844,-0.1329250842835329
LIQ5M,negative,3,2509,0.1056153929655144,0.09695810409329868,0.023734383121214314,4.449889951894854,-0.1329250842835329
LIQ5M,negative,5,2509,0.15952636064775488,0.14996788721667026,0.03720163461923093,4.288154600746756,-0.1329250842835329
LIQ10M,positive,1,2510,0.007561101307743965,0.016666267369081743,0.010444388603037048,0.723939102145752,0.2243471866165475
LIQ10M,positive,3,2510,0.007003676311012308,0.024114132832821114,0.022912708735193965,0.30566775809682634,0.2243471866165475
LIQ10M,positive,5,2510,0.033470068892558026,0.05682114850147791,0.033099690443663385,1.0111897858841017,0.2243471866165475
LIQ10M,negative,1,2510,0.04134266689970158,0.029765563265873103,0.011283109774455497,3.664119885928939,-0.1205874305097025
LIQ10M,negative,3,2510,0.09062362373647244,0.09092752994259728,0.02333952152246124,3.8828398281112593,-0.1205874305097025
LIQ10M,negative,5,2510,0.13760285976952277,0.13706327767532034,0.036727117960168254,3.746628306603244,-0.1205874305097025
TAIL10,positive,1,2511,0.022335496251398985,0.02640224073584066,0.01504860906255445,1.4842233032005958,0.5615326726669816
TAIL10,positive,3,2511,0.03741526165885483,0.08663067755588609,0.031693867583505994,1.1805205395104996,0.5615326726669816
TAIL10,positive,5,2511,0.061549719458684635,0.07198844913633567,0.045181749639555076,1.362269499293581,0.5615326726669816
TAIL10,negative,1,2511,0.05428120619271207,0.043262529661345674,0.015611789124099653,3.4769369328028583,-0.3150711668607596
TAIL10,negative,3,2511,0.17947168446180276,0.15766489319499624,0.03406162191693787,5.269029316908617,-0.3150711668607596
TAIL10,negative,5,2511,0.3087882351885808,0.32678200312161826,0.05246924738182065,5.885127967274191,-0.3150711668607596
