Specification,Horizon,N,Spread (bps),Median (bps),HAC t-stat,Signal-Day Gap (bps)
"Main: AVOL20, ADV $1M, Tail 20%",3,2503,12.913057296342181,11.3658589401404,5.29758983708164,-15.765793544556361
"Main: AVOL20, ADV $1M, Tail 20%",5,2503,21.148188979377668,19.41385206174921,5.525742081611816,-15.765793544556361
AVOL lookback 10D,3,2503,13.7024031834033,11.8697119152796,6.042002313838373,-14.054289945990819
AVOL lookback 10D,5,2503,20.69887176894715,22.73030945347332,5.859108145492095,-14.054289945990819
AVOL lookback 40D,3,2485,10.630566523632199,7.75224770173949,4.366195202511266,-18.012284204167862
AVOL lookback 40D,5,2485,17.97301430821766,16.86586448055742,4.683519712627096,-18.012284204167862
ADV >= $5M,3,2509,10.561539296551441,9.695810409329859,4.449889951894854,-13.292508428353289
ADV >= $5M,5,2509,15.95263606477548,14.99678872166702,4.288154600746756,-13.292508428353289
ADV >= $10M,3,2510,9.06236237364724,9.09275299425972,3.8828398281112593,-12.05874305097025
ADV >= $10M,5,2510,13.760285976952268,13.70632776753203,3.746628306603244,-12.05874305097025
Return tail 10%,3,2511,17.94716844618027,15.766489319499618,5.269029316908617,-31.50711668607596
Return tail 10%,5,2511,30.878823518858077,32.67820031216182,5.885127967274191,-31.50711668607596
